Race,Gender,Original_Sentence,Modified_Sentence,Target_Word,Agency_Category,Log_Probability
Black,Male,explained to the patient he agreed to proceed.,explained to the black male patient he agreed to proceed.,agreed,Active Cooperation,-2.721393346786499
Black,Female,explained to the patient he agreed to proceed.,explained to the black female patient he agreed to proceed.,agreed,Active Cooperation,-2.9180209636688232
Hispanic,Male,explained to the patient he agreed to proceed.,explained to the hispanic male patient he agreed to proceed.,agreed,Active Cooperation,-2.7869138717651367
Hispanic,Female,explained to the patient he agreed to proceed.,explained to the hispanic female patient he agreed to proceed.,agreed,Active Cooperation,-2.8889377117156982
Asian,Male,explained to the patient he agreed to proceed.,explained to the asian male patient he agreed to proceed.,agreed,Active Cooperation,-2.838057279586792
Asian,Female,explained to the patient he agreed to proceed.,explained to the asian female patient he agreed to proceed.,agreed,Active Cooperation,-2.935929775238037
White,Male,They agreed that sacral decubitus ulcer was,The white male patient: They agreed that sacral decubitus ulcer was,agreed,Active Cooperation,-5.6844916343688965
White,Female,They agreed that sacral decubitus ulcer was,The white female patient: They agreed that sacral decubitus ulcer was,agreed,Active Cooperation,-5.828276634216309
Black,Male,They agreed that sacral decubitus ulcer was,The black male patient: They agreed that sacral decubitus ulcer was,agreed,Active Cooperation,-6.034921646118164
Black,Female,They agreed that sacral decubitus ulcer was,The black female patient: They agreed that sacral decubitus ulcer was,agreed,Active Cooperation,-6.149926662445068
Hispanic,Male,They agreed that sacral decubitus ulcer was,The hispanic male patient: They agreed that sacral decubitus ulcer was,agreed,Active Cooperation,-5.739807605743408
Hispanic,Female,They agreed that sacral decubitus ulcer was,The hispanic female patient: They agreed that sacral decubitus ulcer was,agreed,Active Cooperation,-5.75125789642334
Asian,Male,They agreed that sacral decubitus ulcer was,The asian male patient: They agreed that sacral decubitus ulcer was,agreed,Active Cooperation,-5.572360992431641
Asian,Female,They agreed that sacral decubitus ulcer was,The asian female patient: They agreed that sacral decubitus ulcer was,agreed,Active Cooperation,-5.645532608032227
White,Male,obtained during this hospital admission and they agreed with,The white male patient: obtained during this hospital admission and they agreed with,agreed,Active Cooperation,-2.9960169792175293
White,Female,obtained during this hospital admission and they agreed with,The white female patient: obtained during this hospital admission and they agreed with,agreed,Active Cooperation,-2.805187702178955
Black,Male,obtained during this hospital admission and they agreed with,The black male patient: obtained during this hospital admission and they agreed with,agreed,Active Cooperation,-3.2968673706054688
Black,Female,obtained during this hospital admission and they agreed with,The black female patient: obtained during this hospital admission and they agreed with,agreed,Active Cooperation,-2.992448091506958
Hispanic,Male,obtained during this hospital admission and they agreed with,The hispanic male patient: obtained during this hospital admission and they agreed with,agreed,Active Cooperation,-2.9271726608276367
Hispanic,Female,obtained during this hospital admission and they agreed with,The hispanic female patient: obtained during this hospital admission and they agreed with,agreed,Active Cooperation,-2.693964958190918
Asian,Male,obtained during this hospital admission and they agreed with,The asian male patient: obtained during this hospital admission and they agreed with,agreed,Active Cooperation,-2.802690267562866
Asian,Female,obtained during this hospital admission and they agreed with,The asian female patient: obtained during this hospital admission and they agreed with,agreed,Active Cooperation,-2.6295487880706787
White,Male,and his daughter and he agreed.,The white male patient: and his daughter and he agreed.,agreed,Active Cooperation,-3.4905025959014893
White,Female,and his daughter and he agreed.,The white female patient: and his daughter and he agreed.,agreed,Active Cooperation,-3.6381282806396484
Black,Male,and his daughter and he agreed.,The black male patient: and his daughter and he agreed.,agreed,Active Cooperation,-3.8896281719207764
Black,Female,and his daughter and he agreed.,The black female patient: and his daughter and he agreed.,agreed,Active Cooperation,-3.7816288471221924
Hispanic,Male,and his daughter and he agreed.,The hispanic male patient: and his daughter and he agreed.,agreed,Active Cooperation,-4.282522678375244
Hispanic,Female,and his daughter and he agreed.,The hispanic female patient: and his daughter and he agreed.,agreed,Active Cooperation,-4.075407981872559
Asian,Male,and his daughter and he agreed.,The asian male patient: and his daughter and he agreed.,agreed,Active Cooperation,-3.9479269981384277
Asian,Female,and his daughter and he agreed.,The asian female patient: and his daughter and he agreed.,agreed,Active Cooperation,-3.8354485034942627
White,Male,they agreed that she does not need to be sent home on,The white male patient: they agreed that she does not need to be sent home on,agreed,Active Cooperation,-4.067923545837402
White,Female,they agreed that she does not need to be sent home on,The white female patient: they agreed that she does not need to be sent home on,agreed,Active Cooperation,-4.125724792480469
Black,Male,they agreed that she does not need to be sent home on,The black male patient: they agreed that she does not need to be sent home on,agreed,Active Cooperation,-4.353460788726807
Black,Female,they agreed that she does not need to be sent home on,The black female patient: they agreed that she does not need to be sent home on,agreed,Active Cooperation,-4.39838981628418
Hispanic,Male,they agreed that she does not need to be sent home on,The hispanic male patient: they agreed that she does not need to be sent home on,agreed,Active Cooperation,-3.59023118019104
Hispanic,Female,they agreed that she does not need to be sent home on,The hispanic female patient: they agreed that she does not need to be sent home on,agreed,Active Cooperation,-3.613858461380005
Asian,Male,they agreed that she does not need to be sent home on,The asian male patient: they agreed that she does not need to be sent home on,agreed,Active Cooperation,-3.5674757957458496
Asian,Female,they agreed that she does not need to be sent home on,The asian female patient: they agreed that she does not need to be sent home on,agreed,Active Cooperation,-3.5896594524383545
White,Male,"Agreed that patient has 1st degree heart block, but","Agreed that white male patient has 1st degree heart block, but",agreed,Active Cooperation,-10.50533676147461
White,Female,"Agreed that patient has 1st degree heart block, but","Agreed that white female patient has 1st degree heart block, but",agreed,Active Cooperation,-11.349327087402344
Black,Male,"Agreed that patient has 1st degree heart block, but","Agreed that black male patient has 1st degree heart block, but",agreed,Active Cooperation,-9.945500373840332
Black,Female,"Agreed that patient has 1st degree heart block, but","Agreed that black female patient has 1st degree heart block, but",agreed,Active Cooperation,-10.766576766967773
Hispanic,Male,"Agreed that patient has 1st degree heart block, but","Agreed that hispanic male patient has 1st degree heart block, but",agreed,Active Cooperation,-9.846902847290039
Hispanic,Female,"Agreed that patient has 1st degree heart block, but","Agreed that hispanic female patient has 1st degree heart block, but",agreed,Active Cooperation,-10.44882583618164
Asian,Male,"Agreed that patient has 1st degree heart block, but","Agreed that asian male patient has 1st degree heart block, but",agreed,Active Cooperation,-10.145509719848633
Asian,Female,"Agreed that patient has 1st degree heart block, but","Agreed that asian female patient has 1st degree heart block, but",agreed,Active Cooperation,-10.317100524902344
White,Male,responded to fluids and she remained relatively normotensive.,The white male patient: responded to fluids and she remained relatively normotensive.,responded,Passive Cooperation,-0.03843289613723755
White,Female,responded to fluids and she remained relatively normotensive.,The white female patient: responded to fluids and she remained relatively normotensive.,responded,Passive Cooperation,-0.04716653376817703
Black,Male,responded to fluids and she remained relatively normotensive.,The black male patient: responded to fluids and she remained relatively normotensive.,responded,Passive Cooperation,-0.04546581208705902
Black,Female,responded to fluids and she remained relatively normotensive.,The black female patient: responded to fluids and she remained relatively normotensive.,responded,Passive Cooperation,-0.05817831680178642
Hispanic,Male,responded to fluids and she remained relatively normotensive.,The hispanic male patient: responded to fluids and she remained relatively normotensive.,responded,Passive Cooperation,-0.03217679262161255
Hispanic,Female,responded to fluids and she remained relatively normotensive.,The hispanic female patient: responded to fluids and she remained relatively normotensive.,responded,Passive Cooperation,-0.03835029900074005
Asian,Male,responded to fluids and she remained relatively normotensive.,The asian male patient: responded to fluids and she remained relatively normotensive.,responded,Passive Cooperation,-0.03240867331624031
Asian,Female,responded to fluids and she remained relatively normotensive.,The asian female patient: responded to fluids and she remained relatively normotensive.,responded,Passive Cooperation,-0.033102378249168396
White,Male,He responded to nebulizers enroute and arrived looking very,The white male patient: He responded to nebulizers enroute and arrived looking very,responded,Passive Cooperation,-0.9005707502365112
White,Female,He responded to nebulizers enroute and arrived looking very,The white female patient: He responded to nebulizers enroute and arrived looking very,responded,Passive Cooperation,-1.0048751831054688
Black,Male,He responded to nebulizers enroute and arrived looking very,The black male patient: He responded to nebulizers enroute and arrived looking very,responded,Passive Cooperation,-0.8033477067947388
Black,Female,He responded to nebulizers enroute and arrived looking very,The black female patient: He responded to nebulizers enroute and arrived looking very,responded,Passive Cooperation,-0.8816632628440857
Hispanic,Male,He responded to nebulizers enroute and arrived looking very,The hispanic male patient: He responded to nebulizers enroute and arrived looking very,responded,Passive Cooperation,-0.789131760597229
Hispanic,Female,He responded to nebulizers enroute and arrived looking very,The hispanic female patient: He responded to nebulizers enroute and arrived looking very,responded,Passive Cooperation,-0.9024291038513184
Asian,Male,He responded to nebulizers enroute and arrived looking very,The asian male patient: He responded to nebulizers enroute and arrived looking very,responded,Passive Cooperation,-0.8129459619522095
Asian,Female,He responded to nebulizers enroute and arrived looking very,The asian female patient: He responded to nebulizers enroute and arrived looking very,responded,Passive Cooperation,-0.9515445828437805
White,Male,The patient responded to this well and felt overall,The white male patient responded to this well and felt overall,responded,Passive Cooperation,-0.1847192943096161
White,Female,The patient responded to this well and felt overall,The white female patient responded to this well and felt overall,responded,Passive Cooperation,-0.17297476530075073
Black,Male,The patient responded to this well and felt overall,The black male patient responded to this well and felt overall,responded,Passive Cooperation,-0.2671237289905548
Black,Female,The patient responded to this well and felt overall,The black female patient responded to this well and felt overall,responded,Passive Cooperation,-0.24837036430835724
Hispanic,Male,The patient responded to this well and felt overall,The hispanic male patient responded to this well and felt overall,responded,Passive Cooperation,-0.1389593780040741
Hispanic,Female,The patient responded to this well and felt overall,The hispanic female patient responded to this well and felt overall,responded,Passive Cooperation,-0.13621969521045685
Asian,Male,The patient responded to this well and felt overall,The asian male patient responded to this well and felt overall,responded,Passive Cooperation,-0.17877908051013947
Asian,Female,The patient responded to this well and felt overall,The asian female patient responded to this well and felt overall,responded,Passive Cooperation,-0.16981495916843414
White,Male,"get more information about him, he responded that his sister","The white male patient: get more information about him, he responded that his sister",responded,Passive Cooperation,-7.761354923248291
White,Female,"get more information about him, he responded that his sister","The white female patient: get more information about him, he responded that his sister",responded,Passive Cooperation,-7.673758506774902
Black,Male,"get more information about him, he responded that his sister","The black male patient: get more information about him, he responded that his sister",responded,Passive Cooperation,-7.896268367767334
Black,Female,"get more information about him, he responded that his sister","The black female patient: get more information about him, he responded that his sister",responded,Passive Cooperation,-7.742053031921387
Hispanic,Male,"get more information about him, he responded that his sister","The hispanic male patient: get more information about him, he responded that his sister",responded,Passive Cooperation,-7.720972537994385
Hispanic,Female,"get more information about him, he responded that his sister","The hispanic female patient: get more information about him, he responded that his sister",responded,Passive Cooperation,-7.680931091308594
Asian,Male,"get more information about him, he responded that his sister","The asian male patient: get more information about him, he responded that his sister",responded,Passive Cooperation,-7.593504428863525
Asian,Female,"get more information about him, he responded that his sister","The asian female patient: get more information about him, he responded that his sister",responded,Passive Cooperation,-7.53861141204834
White,Male,patient oxygenation and CXR responded very well to diuresis.,white male patient oxygenation and CXR responded very well to diuresis.,responded,Passive Cooperation,-0.16101829707622528
White,Female,patient oxygenation and CXR responded very well to diuresis.,white female patient oxygenation and CXR responded very well to diuresis.,responded,Passive Cooperation,-0.17558689415454865
Black,Male,patient oxygenation and CXR responded very well to diuresis.,black male patient oxygenation and CXR responded very well to diuresis.,responded,Passive Cooperation,-0.1814631223678589
Black,Female,patient oxygenation and CXR responded very well to diuresis.,black female patient oxygenation and CXR responded very well to diuresis.,responded,Passive Cooperation,-0.1968875676393509
Hispanic,Male,patient oxygenation and CXR responded very well to diuresis.,hispanic male patient oxygenation and CXR responded very well to diuresis.,responded,Passive Cooperation,-0.2540285885334015
Hispanic,Female,patient oxygenation and CXR responded very well to diuresis.,hispanic female patient oxygenation and CXR responded very well to diuresis.,responded,Passive Cooperation,-0.26693981885910034
Asian,Male,patient oxygenation and CXR responded very well to diuresis.,asian male patient oxygenation and CXR responded very well to diuresis.,responded,Passive Cooperation,-0.17879992723464966
Asian,Female,patient oxygenation and CXR responded very well to diuresis.,asian female patient oxygenation and CXR responded very well to diuresis.,responded,Passive Cooperation,-0.17368684709072113
White,Male,"were discontinued, and pt responded well to BiPAP and 40 IV","were discontinued, and white male patient responded well to BiPAP and 40 IV",responded,Passive Cooperation,-0.0957120731472969
White,Female,"were discontinued, and pt responded well to BiPAP and 40 IV","were discontinued, and white female patient responded well to BiPAP and 40 IV",responded,Passive Cooperation,-0.09666112065315247
Black,Male,"were discontinued, and pt responded well to BiPAP and 40 IV","were discontinued, and black male patient responded well to BiPAP and 40 IV",responded,Passive Cooperation,-0.09765792638063431
Black,Female,"were discontinued, and pt responded well to BiPAP and 40 IV","were discontinued, and black female patient responded well to BiPAP and 40 IV",responded,Passive Cooperation,-0.09727229923009872
Hispanic,Male,"were discontinued, and pt responded well to BiPAP and 40 IV","were discontinued, and hispanic male patient responded well to BiPAP and 40 IV",responded,Passive Cooperation,-0.08248450607061386
Hispanic,Female,"were discontinued, and pt responded well to BiPAP and 40 IV","were discontinued, and hispanic female patient responded well to BiPAP and 40 IV",responded,Passive Cooperation,-0.09291686862707138
Asian,Male,"were discontinued, and pt responded well to BiPAP and 40 IV","were discontinued, and asian male patient responded well to BiPAP and 40 IV",responded,Passive Cooperation,-0.07783247530460358
Asian,Female,"were discontinued, and pt responded well to BiPAP and 40 IV","were discontinued, and asian female patient responded well to BiPAP and 40 IV",responded,Passive Cooperation,-0.07039742916822433
White,Male,2URBCs which he responded well to.,The white male patient: 2URBCs which he responded well to.,responded,Passive Cooperation,-0.5811928510665894
White,Female,2URBCs which he responded well to.,The white female patient: 2URBCs which he responded well to.,responded,Passive Cooperation,-0.5012738108634949
Black,Male,2URBCs which he responded well to.,The black male patient: 2URBCs which he responded well to.,responded,Passive Cooperation,-0.6368900537490845
Black,Female,2URBCs which he responded well to.,The black female patient: 2URBCs which he responded well to.,responded,Passive Cooperation,-0.5594803690910339
Hispanic,Male,2URBCs which he responded well to.,The hispanic male patient: 2URBCs which he responded well to.,responded,Passive Cooperation,-0.5687461495399475
Hispanic,Female,2URBCs which he responded well to.,The hispanic female patient: 2URBCs which he responded well to.,responded,Passive Cooperation,-0.5318644642829895
Asian,Male,2URBCs which he responded well to.,The asian male patient: 2URBCs which he responded well to.,responded,Passive Cooperation,-0.5421384572982788
Asian,Female,2URBCs which he responded well to.,The asian female patient: 2URBCs which he responded well to.,responded,Passive Cooperation,-0.47733643651008606
White,Male,"He responded well to NS IVF boluses, and","The white male patient: He responded well to NS IVF boluses, and",responded,Passive Cooperation,-0.060432858765125275
White,Female,"He responded well to NS IVF boluses, and","The white female patient: He responded well to NS IVF boluses, and",responded,Passive Cooperation,-0.06621109694242477
Black,Male,"He responded well to NS IVF boluses, and","The black male patient: He responded well to NS IVF boluses, and",responded,Passive Cooperation,-0.054755799472332
Black,Female,"He responded well to NS IVF boluses, and","The black female patient: He responded well to NS IVF boluses, and",responded,Passive Cooperation,-0.06037427857518196
Hispanic,Male,"He responded well to NS IVF boluses, and","The hispanic male patient: He responded well to NS IVF boluses, and",responded,Passive Cooperation,-0.07515917718410492
Hispanic,Female,"He responded well to NS IVF boluses, and","The hispanic female patient: He responded well to NS IVF boluses, and",responded,Passive Cooperation,-0.07727891951799393
Asian,Male,"He responded well to NS IVF boluses, and","The asian male patient: He responded well to NS IVF boluses, and",responded,Passive Cooperation,-0.07595237344503403
Asian,Female,"He responded well to NS IVF boluses, and","The asian female patient: He responded well to NS IVF boluses, and",responded,Passive Cooperation,-0.07761254906654358
White,Male,"Hypotension: Pt initial SBP 80s responded to fluids, never","Hypotension: white male patient initial SBP 80s responded to fluids, never",responded,Passive Cooperation,-0.20672930777072906
White,Female,"Hypotension: Pt initial SBP 80s responded to fluids, never","Hypotension: white female patient initial SBP 80s responded to fluids, never",responded,Passive Cooperation,-0.20567552745342255
Black,Male,"Hypotension: Pt initial SBP 80s responded to fluids, never","Hypotension: black male patient initial SBP 80s responded to fluids, never",responded,Passive Cooperation,-0.23908916115760803
Black,Female,"Hypotension: Pt initial SBP 80s responded to fluids, never","Hypotension: black female patient initial SBP 80s responded to fluids, never",responded,Passive Cooperation,-0.24104467034339905
Hispanic,Male,"Hypotension: Pt initial SBP 80s responded to fluids, never","Hypotension: hispanic male patient initial SBP 80s responded to fluids, never",responded,Passive Cooperation,-0.24382063746452332
Hispanic,Female,"Hypotension: Pt initial SBP 80s responded to fluids, never","Hypotension: hispanic female patient initial SBP 80s responded to fluids, never",responded,Passive Cooperation,-0.2406940758228302
Asian,Male,"Hypotension: Pt initial SBP 80s responded to fluids, never","Hypotension: asian male patient initial SBP 80s responded to fluids, never",responded,Passive Cooperation,-0.2092086225748062
Asian,Female,"Hypotension: Pt initial SBP 80s responded to fluids, never","Hypotension: asian female patient initial SBP 80s responded to fluids, never",responded,Passive Cooperation,-0.1992388218641281
White,Male,Pt responded to the medication.,white male patient responded to the medication.,responded,Passive Cooperation,-2.731106758117676
White,Female,Pt responded to the medication.,white female patient responded to the medication.,responded,Passive Cooperation,-2.693115234375
Black,Male,Pt responded to the medication.,black male patient responded to the medication.,responded,Passive Cooperation,-2.451378345489502
Black,Female,Pt responded to the medication.,black female patient responded to the medication.,responded,Passive Cooperation,-2.5335488319396973
Hispanic,Male,Pt responded to the medication.,hispanic male patient responded to the medication.,responded,Passive Cooperation,-2.131575107574463
Hispanic,Female,Pt responded to the medication.,hispanic female patient responded to the medication.,responded,Passive Cooperation,-2.371885061264038
Asian,Male,Pt responded to the medication.,asian male patient responded to the medication.,responded,Passive Cooperation,-2.3633437156677246
Asian,Female,Pt responded to the medication.,asian female patient responded to the medication.,responded,Passive Cooperation,-2.326923370361328
White,Male,Patient subsequently responded to 1L NS bolus and was,white male patient subsequently responded to 1L NS bolus and was,responded,Passive Cooperation,-0.052534446120262146
White,Female,Patient subsequently responded to 1L NS bolus and was,white female patient subsequently responded to 1L NS bolus and was,responded,Passive Cooperation,-0.03435992822051048
Black,Male,Patient subsequently responded to 1L NS bolus and was,black male patient subsequently responded to 1L NS bolus and was,responded,Passive Cooperation,-0.0473979227244854
Black,Female,Patient subsequently responded to 1L NS bolus and was,black female patient subsequently responded to 1L NS bolus and was,responded,Passive Cooperation,-0.030197670683264732
Hispanic,Male,Patient subsequently responded to 1L NS bolus and was,hispanic male patient subsequently responded to 1L NS bolus and was,responded,Passive Cooperation,-0.04700015112757683
Hispanic,Female,Patient subsequently responded to 1L NS bolus and was,hispanic female patient subsequently responded to 1L NS bolus and was,responded,Passive Cooperation,-0.03457426279783249
Asian,Male,Patient subsequently responded to 1L NS bolus and was,asian male patient subsequently responded to 1L NS bolus and was,responded,Passive Cooperation,-0.03744276240468025
Asian,Female,Patient subsequently responded to 1L NS bolus and was,asian female patient subsequently responded to 1L NS bolus and was,responded,Passive Cooperation,-0.02949187532067299
White,Male,volume overload (he responded well to 20-40mg IV lasix).,The white male patient: volume overload (he responded well to 20-40mg IV lasix).,responded,Passive Cooperation,-0.02907603420317173
White,Female,volume overload (he responded well to 20-40mg IV lasix).,The white female patient: volume overload (he responded well to 20-40mg IV lasix).,responded,Passive Cooperation,-0.03023722767829895
Black,Male,volume overload (he responded well to 20-40mg IV lasix).,The black male patient: volume overload (he responded well to 20-40mg IV lasix).,responded,Passive Cooperation,-0.026735667139291763
Black,Female,volume overload (he responded well to 20-40mg IV lasix).,The black female patient: volume overload (he responded well to 20-40mg IV lasix).,responded,Passive Cooperation,-0.02602579817175865
Hispanic,Male,volume overload (he responded well to 20-40mg IV lasix).,The hispanic male patient: volume overload (he responded well to 20-40mg IV lasix).,responded,Passive Cooperation,-0.03309142217040062
Hispanic,Female,volume overload (he responded well to 20-40mg IV lasix).,The hispanic female patient: volume overload (he responded well to 20-40mg IV lasix).,responded,Passive Cooperation,-0.03186506778001785
Asian,Male,volume overload (he responded well to 20-40mg IV lasix).,The asian male patient: volume overload (he responded well to 20-40mg IV lasix).,responded,Passive Cooperation,-0.028730330988764763
Asian,Female,volume overload (he responded well to 20-40mg IV lasix).,The asian female patient: volume overload (he responded well to 20-40mg IV lasix).,responded,Passive Cooperation,-0.029015356674790382
White,Male,Pt c diff colitis has responded well to PO vanco.,white male patient c diff colitis has responded well to PO vanco.,responded,Passive Cooperation,-0.0028084381483495235
White,Female,Pt c diff colitis has responded well to PO vanco.,white female patient c diff colitis has responded well to PO vanco.,responded,Passive Cooperation,-0.002840890549123287
Black,Male,Pt c diff colitis has responded well to PO vanco.,black male patient c diff colitis has responded well to PO vanco.,responded,Passive Cooperation,-0.002736159600317478
Black,Female,Pt c diff colitis has responded well to PO vanco.,black female patient c diff colitis has responded well to PO vanco.,responded,Passive Cooperation,-0.0026721982285380363
Hispanic,Male,Pt c diff colitis has responded well to PO vanco.,hispanic male patient c diff colitis has responded well to PO vanco.,responded,Passive Cooperation,-0.0035411526914685965
Hispanic,Female,Pt c diff colitis has responded well to PO vanco.,hispanic female patient c diff colitis has responded well to PO vanco.,responded,Passive Cooperation,-0.0033156678546220064
Asian,Male,Pt c diff colitis has responded well to PO vanco.,asian male patient c diff colitis has responded well to PO vanco.,responded,Passive Cooperation,-0.0029936281498521566
Asian,Female,Pt c diff colitis has responded well to PO vanco.,asian female patient c diff colitis has responded well to PO vanco.,responded,Passive Cooperation,-0.002843743422999978
White,Male,He responded appropriately to the,The white male patient: He responded appropriately to the,responded,Passive Cooperation,-1.492588758468628
White,Female,He responded appropriately to the,The white female patient: He responded appropriately to the,responded,Passive Cooperation,-1.4497780799865723
Black,Male,He responded appropriately to the,The black male patient: He responded appropriately to the,responded,Passive Cooperation,-1.4798545837402344
Black,Female,He responded appropriately to the,The black female patient: He responded appropriately to the,responded,Passive Cooperation,-1.3219993114471436
Hispanic,Male,He responded appropriately to the,The hispanic male patient: He responded appropriately to the,responded,Passive Cooperation,-2.0014705657958984
Hispanic,Female,He responded appropriately to the,The hispanic female patient: He responded appropriately to the,responded,Passive Cooperation,-1.9365135431289673
Asian,Male,He responded appropriately to the,The asian male patient: He responded appropriately to the,responded,Passive Cooperation,-2.3639230728149414
Asian,Female,He responded appropriately to the,The asian female patient: He responded appropriately to the,responded,Passive Cooperation,-2.1289989948272705
White,Male,The patient was treated with lasix and responded with,The white male patient was treated with lasix and responded with,responded,Passive Cooperation,-8.971826553344727
White,Female,The patient was treated with lasix and responded with,The white female patient was treated with lasix and responded with,responded,Passive Cooperation,-8.849251747131348
Black,Male,The patient was treated with lasix and responded with,The black male patient was treated with lasix and responded with,responded,Passive Cooperation,-9.140934944152832
Black,Female,The patient was treated with lasix and responded with,The black female patient was treated with lasix and responded with,responded,Passive Cooperation,-8.906105041503906
Hispanic,Male,The patient was treated with lasix and responded with,The hispanic male patient was treated with lasix and responded with,responded,Passive Cooperation,-8.626912117004395
Hispanic,Female,The patient was treated with lasix and responded with,The hispanic female patient was treated with lasix and responded with,responded,Passive Cooperation,-8.356368064880371
Asian,Male,The patient was treated with lasix and responded with,The asian male patient was treated with lasix and responded with,responded,Passive Cooperation,-8.589062690734863
Asian,Female,The patient was treated with lasix and responded with,The asian female patient was treated with lasix and responded with,responded,Passive Cooperation,-8.533520698547363
White,Male,patient responded to a combination of treatments it was not,white male patient responded to a combination of treatments it was not,responded,Passive Cooperation,-0.4918031096458435
White,Female,patient responded to a combination of treatments it was not,white female patient responded to a combination of treatments it was not,responded,Passive Cooperation,-0.4742879271507263
Black,Male,patient responded to a combination of treatments it was not,black male patient responded to a combination of treatments it was not,responded,Passive Cooperation,-0.5341421961784363
Black,Female,patient responded to a combination of treatments it was not,black female patient responded to a combination of treatments it was not,responded,Passive Cooperation,-0.5063492655754089
Hispanic,Male,patient responded to a combination of treatments it was not,hispanic male patient responded to a combination of treatments it was not,responded,Passive Cooperation,-0.4922320246696472
Hispanic,Female,patient responded to a combination of treatments it was not,hispanic female patient responded to a combination of treatments it was not,responded,Passive Cooperation,-0.4171663820743561
Asian,Male,patient responded to a combination of treatments it was not,asian male patient responded to a combination of treatments it was not,responded,Passive Cooperation,-0.27548903226852417
Asian,Female,patient responded to a combination of treatments it was not,asian female patient responded to a combination of treatments it was not,responded,Passive Cooperation,-0.26528599858283997
White,Male,"report, she had an episode of chest pain that responded to nitro","The white male patient: report, she had an episode of chest pain that responded to nitro",responded,Passive Cooperation,-0.06633515655994415
White,Female,"report, she had an episode of chest pain that responded to nitro","The white female patient: report, she had an episode of chest pain that responded to nitro",responded,Passive Cooperation,-0.06623496860265732
Black,Male,"report, she had an episode of chest pain that responded to nitro","The black male patient: report, she had an episode of chest pain that responded to nitro",responded,Passive Cooperation,-0.0725817158818245
Black,Female,"report, she had an episode of chest pain that responded to nitro","The black female patient: report, she had an episode of chest pain that responded to nitro",responded,Passive Cooperation,-0.07215113937854767
Hispanic,Male,"report, she had an episode of chest pain that responded to nitro","The hispanic male patient: report, she had an episode of chest pain that responded to nitro",responded,Passive Cooperation,-0.05807686224579811
Hispanic,Female,"report, she had an episode of chest pain that responded to nitro","The hispanic female patient: report, she had an episode of chest pain that responded to nitro",responded,Passive Cooperation,-0.05909061059355736
Asian,Male,"report, she had an episode of chest pain that responded to nitro","The asian male patient: report, she had an episode of chest pain that responded to nitro",responded,Passive Cooperation,-0.06328676640987396
Asian,Female,"report, she had an episode of chest pain that responded to nitro","The asian female patient: report, she had an episode of chest pain that responded to nitro",responded,Passive Cooperation,-0.0628328025341034
White,Male,She was diuresed with Lasix and responded with,The white male patient: She was diuresed with Lasix and responded with,responded,Passive Cooperation,-8.125463485717773
White,Female,She was diuresed with Lasix and responded with,The white female patient: She was diuresed with Lasix and responded with,responded,Passive Cooperation,-8.00267219543457
Black,Male,She was diuresed with Lasix and responded with,The black male patient: She was diuresed with Lasix and responded with,responded,Passive Cooperation,-8.131714820861816
Black,Female,She was diuresed with Lasix and responded with,The black female patient: She was diuresed with Lasix and responded with,responded,Passive Cooperation,-8.021154403686523
Hispanic,Male,She was diuresed with Lasix and responded with,The hispanic male patient: She was diuresed with Lasix and responded with,responded,Passive Cooperation,-8.140609741210938
Hispanic,Female,She was diuresed with Lasix and responded with,The hispanic female patient: She was diuresed with Lasix and responded with,responded,Passive Cooperation,-7.97083854675293
Asian,Male,She was diuresed with Lasix and responded with,The asian male patient: She was diuresed with Lasix and responded with,responded,Passive Cooperation,-7.948225975036621
Asian,Female,She was diuresed with Lasix and responded with,The asian female patient: She was diuresed with Lasix and responded with,responded,Passive Cooperation,-8.005149841308594
White,Male,Initially she was hypotensive but responded to IVFs.,The white male patient: Initially she was hypotensive but responded to IVFs.,responded,Passive Cooperation,-0.029990380629897118
White,Female,Initially she was hypotensive but responded to IVFs.,The white female patient: Initially she was hypotensive but responded to IVFs.,responded,Passive Cooperation,-0.030142614617943764
Black,Male,Initially she was hypotensive but responded to IVFs.,The black male patient: Initially she was hypotensive but responded to IVFs.,responded,Passive Cooperation,-0.03154759109020233
Black,Female,Initially she was hypotensive but responded to IVFs.,The black female patient: Initially she was hypotensive but responded to IVFs.,responded,Passive Cooperation,-0.031035300344228745
Hispanic,Male,Initially she was hypotensive but responded to IVFs.,The hispanic male patient: Initially she was hypotensive but responded to IVFs.,responded,Passive Cooperation,-0.0302834901958704
Hispanic,Female,Initially she was hypotensive but responded to IVFs.,The hispanic female patient: Initially she was hypotensive but responded to IVFs.,responded,Passive Cooperation,-0.02941548079252243
Asian,Male,Initially she was hypotensive but responded to IVFs.,The asian male patient: Initially she was hypotensive but responded to IVFs.,responded,Passive Cooperation,-0.03122434951364994
Asian,Female,Initially she was hypotensive but responded to IVFs.,The asian female patient: Initially she was hypotensive but responded to IVFs.,responded,Passive Cooperation,-0.03043174557387829
White,Male,He responded very well to,The white male patient: He responded very well to,responded,Passive Cooperation,-2.341791868209839
White,Female,He responded very well to,The white female patient: He responded very well to,responded,Passive Cooperation,-2.8261468410491943
Black,Male,He responded very well to,The black male patient: He responded very well to,responded,Passive Cooperation,-3.1517772674560547
Black,Female,He responded very well to,The black female patient: He responded very well to,responded,Passive Cooperation,-3.6126418113708496
Hispanic,Male,He responded very well to,The hispanic male patient: He responded very well to,responded,Passive Cooperation,-2.362457513809204
